factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.6350729740623942,0.00244383875965023,0.0017480954768641275,0.6342857142857143,0.12411753235943046
0.75,7.5,10.0,0.75,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.15493786701917084,0.0011894625625154017,0.0008508311431029039,0.15428571428571428,0.42269158649962385
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,1.9239890943014104,0.01902157907855122,0.013606272598273943,1.9216735930126083,0.12049399529771748
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,1.2123915618361059,0.016182472910122814,0.01157543949532526,1.2101852504050152,0.1823118758348966
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.2705326247113438,0.002430605179145085,0.001738629401357954,0.2700920700920701,0.1631127560033685
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.17047225176714145,0.0021197652306922596,0.0015162833460900394,0.1700920700920701,0.22351522611580227
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.7115975324653065,0.0033044743106968575,0.0023637142888959,0.7114883426075931,0.015346682605267475
0.75,7.5,10.0,0.75,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.05194864930073475,0.0013527894674457573,0.0009676600552525071,0.05134887652320913,1.168034859057779
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,2.6138748994053804,0.04695928900104375,0.03359031784536752,2.6074491983300274,0.24643629028202835
0.75,7.5,10.0,0.75,10,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,1.872870631085047,0.04412106502630793,0.03156011578192487,1.8656273400314851,0.38824961974665134
